id,title,year,fund,fileUrl,featured,desc
172,Research on HF Injection Sensorless Control with DC Shunt Current Detection for Air Conditioner 2nd Year (R04/68),2025,"Carrier Japan Corporation, Japan ",,,
171,โครงการพัฒนากฎระเบียบการกำกับกิจการพลังงานเพื่อรองรับการซื้อขายไฟฟ้าพลังงานหมุนเวียน และเทคโนโลยีพลิกโฉม (Disruptive Technology) (R03/68),2025,สำนักงานคณะกรรมการกำกับกิจการพลังงาน (สำนักงาน กกพ.),,,
170,ศึกษาวิจัยวิธีการเหมาะสมในการจำกัดกระแสลัดวงจรในระบบจำหน่ายพื้นที่วงจรตาข่ายการไฟฟ้านครหลวง (R02/68),2025,การไฟฟ้านครหลวง (กฟน.),,,
169,การพัฒนามาตรฐานประสิทธิภาพพลังงานโคมไฟถนนแอลอีดีเซลล์แสงอาทิตย์ในโครงการฉลากแสดงระดับประสิทธิภาพพลังงาน (ฉลากเบอร์ 5) (R05/68),2025,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.),,,
168,ความร่วมมือโครงการ “CEFIA Flagship Project Dissemination for RENKEI Control to ASEAN Countries” ปีที่ 5 (Year 2024) (R01/68),2025,Japan Electronics and Information Technology Industries Association (JEITA),,,
167,งานจ้างที่ปรึกษาเพื่อการทบทวนและวิเคราะห์ผลประโยชน์จากแผนการพัฒนาระบบโครงข่ายสมาร์ทกริด (Smart Grid) ของการไฟฟ้าทั้ง 3 แห่ง,2025,การไฟฟ้าส่วนภูมิภาค (กฟภ.),,,
166,Technical Report: แนวโน้มของเทคโนโลยีบริเวณขอบโครงข่ายไฟฟ้าสู่พลังงานหมุนเวียนเต็มร้อย (Outlook for Grid Edge Technologies toward RE100),2024,CEPT,"[{""name"": ""Full Report"", ""link"": ""https://www.cept.eng.chula.ac.th/th/wp-content/uploads/2024/07/merged_100dpi_75.pdf""}, {""name"": ""Ch1: Future Power Grid"", ""link"": ""https://drive.google.com/uc?export=download&id=1Ay8rvNvqdG9Flprz_E5vPRFUZ9huSmoJ""}, {""name"": ""Ch2: Power Electronics"", ""link"": ""https://drive.google.com/uc?export=download&id=1VijSpy8aryTzSliGDqEtr0MysCgOMTXq""}, {""name"": ""Ch3: Grid Edge Monitoring"", ""link"": ""https://drive.google.com/uc?export=download&id=1Vq7y3DuzYHt1XYx9IlCneywB7dqm-u1q""}, {""name"": ""Ch4: Communication Tech"", ""link"": ""https://drive.google.com/uc?export=download&id=1C-3CxnZJzTQZUR3D0ewF6pHwU2BcbpfT""}, {""name"": ""Ch5: Data Analytics"", ""link"": ""https://drive.google.com/uc?export=download&id=1VtK33ZeGRYWUjPl63ErPHH7X9MIDVGWE""}, {""name"": ""Ch6: BAS & EMS"", ""link"": ""https://drive.google.com/uc?export=download&id=1VujzOj0qRprH4aZ9jqlTEiWBWqXRNr13""}, {""name"": ""Ch7: Power Forecasting"", ""link"": ""https://drive.google.com/uc?export=download&id=1VvC9xgcDPDl891y1MUYby1dgrwDGn3D3""}, {""name"": ""Ch8: Transactive Energy"", ""link"": ""https://drive.google.com/uc?export=download&id=1Vv_eADhI2EjtFgBq_P-imI_FYyut-zfZ""}, {""name"": ""Ch9: RE100 Concept"", ""link"": ""https://drive.google.com/uc?export=download&id=1ArLHeJEM3t6Xg3E2-jqsWBHA1T6RITyY""}]",True,
165,โครงการการประเมินผลกระทบของการพยากรณ์กำลังผลิตไฟฟ้าพลังงานแสงอาทิตย์และพลังงานลมต่อค่าใช้จ่ายด้านการจัดสรรกำลังการผลิตอย่างคุ้มค่าและความมั่นคงเชิงความถี่ในระบบส่งไฟฟ้า (R03/67),2024,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.),,,
164,โครงการศึกษาความเป็นไปได้ในการประยุกต์ใช้เทคโนโลยีที่เหมาะสมสำหรับระบบไฟฟ้า บนเกาะสมุย เพื่อความยั่งยืนและลดการปลดปล่อยก๊าซเรือนกระจก (ระยะที่ 1) (R04/67),2024,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ (สวทช.),,,
163,โครงการวิจัยและพัฒนาเครื่องกระตุ้นไฟฟ้าช่วยในการรักษาโดยวิธีฝังเข็ม ระยะที่ 1 (R05/67),2024,คลินิกการประกอบโรคศิลปะ สาขาการแพทย์แผนจีนหัวเฉียว,,,
162,โครงการให้คำปรึกษา วิเคราะห์ ออกแบบวิจัย พัฒนาหลอดไฟแอลอีดีของโคมไฟถนนสำหรับการให้แสงสว่างให้เป็นไปตามมาตรฐาน มอก. 2954-2562 (TCS01/67),2024,บริษัท ดี.พี. เทรดดิ้ง จำกัด,,,
161,ที่ปรึกษาเพื่อพัฒนามาตรฐานการทดสอบอุปกรณ์ DC Decoupler (R02/66),2023,บมจ ปตท.,,,
160,โครงการระบบศูนย์กลางแจ้งเตือนเหตุการณ์ผิดปกติของระบบจำหน่ายไฟฟ้า (POINTEN) (R03/66),2023,บ. โกลบอล เพาเวอร์ ซินเนอร์ยี่ (มหาชน) จำกัด,,,
159,โครงการจ้างที่ปรึกษาจัดทำคุณลักษณะเฉพาะและมาตรฐานโคมไฟทางพิเศษแอลอีดีและศึกษาโครงสร้างพื้นฐานของระบบไฟฟ้าเพื่อเสริมสร้างความมั่นคงด้านพลังงาน (R06/66),2023,การทางพิเศษแห่งประเทศไทย,,,
158,โครงการวิจัยเพื่อการศึกษา ออกแบบ และจัดทำหลักเกณฑ์การบริหารสายอาชีพผู้เชี่ยวชาญ (R08/66),2023,บ. โกลบอล เพาเวอร์ ซินเนอร์ยี่ (มหาชน) จำกัด (GPSC),,,
157,โครงการการวิจัยและพัฒนาเครื่องตรวจการเฝ้าระวังบริเวณโดยรอบโครงข่ายไฟฟ้า (Research & Development of mPMU for Grid Edge Operation) (R09/66),2023,มูลนิธินิสิตเก่า จุฬาลงกรณ์มหาวิทยาลัย,,,
156,โครงการพัฒนาหลักเกณฑ์และข้อกำหนดของไฟส่องสว่างประสิทธิภาพสูงบนทางหลวง,2022,กรมทางหลวง,,,
155,โครงการความร่วมมือปีที่ 2 (Year 2021) เรื่อง CEFIA Flagship Project Dissemination for RENKEI Control to ASEAN Countries,2022,"JEITA, Japan ",,,
154,โครงการพัฒนาหลักเกณฑ์และข้อกำหนดของไฟส่องสว่างประสิทธิภาพสูงบนทางหลวง (R04/65),2022,สำนักอำนวยความปลอดภัย กรมทางหลวง,,,
153,โครงการแนวโน้มของเทคโนโลยีริมขอบโครงข่ายไฟฟ้าสู่พลังงานหมุนเวียนเต็มร้อย (Outlook for Grid Edge Technology toward RE100) (R06/65 (IO)),2022,เงินรายได้ของศูนย์เชี่ยวชาญ,,,
152,โครงการเพื่อจัดทำแผนธุรกิจ Power Retailer (EGAT Green Power),2021,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
151,โครงการเพิ่มประสิทธิภาพการจัดการและลดต้นทุนพลังงานระบบอัดอากาศ บ. ไทยน้ำทิพย์,2021,บ. ไทยน้ำทิพย์ จก,,,
150,Project Impact Study of Solar PV Penetration in B.Grimm Power System,2021,B. Grimm Amata Power,,,
149,โครงการวิจัยเรื่อง Research of High Efficiency Inverter System for Air Conditioner 2nd Year,2021,"Toshiba Carrier Corp, Japan ",,,
148,โครงการจ้างที่ปรึกษาเพื่อศึกษาและดำเนินโครงการสนับสนุนการปรับปรุงประสิทธิภาพการจัดการพลังงานในระบบอากาศอัด,2021,การไฟฟ้านครหลวง,,,
147,โครงการวิจัยแนวทางการนำปัญญาประดิษฐ์ (Artificial Intelligence: AI) มาใช้ในการบริหารคลื่นความถี่และวิเคราะห์ข้อมูลการตรวจสอบคลื่นความถี่ด้วยเทคโนโลยี Big Data,2020,สำนักงานกองทุนวิจัยและพัฒนา สำนักงาน กสทช.,,,
146,โครงการความร่วมมือเรื่อง CEFIA Flagship Project Dissemination for RENKEI Control to ASEAN Countries,2020,"JEITA, Japan ",,,
145,โครงการวิจัยและพัฒนาการบูรณาการบริหารจัดการน้ำเข้ากับการวางแผนและการดำเนินการของระบบกักเก็บพลังงานสำหรับระบบการผลิตไฟฟ้าผสมผสานตามแผนพัฒนากำลังผลิตไฟฟ้าจากพลังงานรูปแบบใหม่ของ กฟผ.,2020,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
144,การศึกษาออกแบบและพัฒนาโคมไฟ LED แบบใหม่ใช้ทดแทนโคมไฟ HID เพื่อเพิ่มสมรรถนะทางแสงและประสิทธิภาพพลังงาน,2020,บริษัท ฉื่อ จิ้น ฮั้ว จำกัด,,,
143,การศึกษาและพัฒนาศูนย์ควบคุมการตอบสนองด้านโหลด,2020,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
142,โครงการวิจัยการออกแบบเชิงแนวคิดระบบกักเก็บพลังงานสำหรับการผลิตไฟฟ้าผสมผสานตามแผนพัฒนากำลังผลิตไฟฟ้าจากพลังงานรูปแบบใหม่ของ กฟผ.,2019,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
141,โครงการวิจัย Investigate cause of transient response instability in regeneration on sensor-less vector control for flywheel,2019,"Sanken Electric Co., Ltd. ",,,
140,โครงารงานจ้างที่ปรึกษาตรวจสอบเอกสาร และควบคุมงานตรวจสอบ วิเคราะห์ และรายงานผลการดำเนินโครงการจัดให้มีบริการอินเตอร์เน็ตความเร็วสูงในพื้นที่ห่างไกล (Technical Audit) ภายใต้โครงการจัดให้มีบริการอินเทอร์เน็ตความเร็วสูงในพื้นที่ห่างไกล (Zone C),2019,สำนักงาน กสทช.,,,
139,โครงการส่งเสริมการประหยัดไฟฟ้าด้วยหลอด LED กฟน.,2019,การไฟฟ้านครหลวง,,,
138,โครงการพัฒนาแบบจำลองเชิงสถิติของความคลาดเคลื่อนในการพยากรณ์กำลังผลิตไฟฟ้าจากพลังงานแสงอาทิตย์และขั้นตอนวิธีสำหรับการพยากรณ์เชิงพื้นที่,2019,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
137,โครงการพัฒนาความพร้อมระดับประเทศของการสื่อสารไร้สายในยุค 5G ภาคหนึ่ง เทคโนโลยีการเข้ารหัส: การถ่ายทอดเทคโนโลยี การพัฒนาบุคลากรด้านกิจการโทรคมนาคม การจัดทำคู่มือความรู้ และสื่อ,2019,สำนักงานกองทุนวิจัยและพัฒนา กสทช.,,,
136,โครงการออกแบบสายส่ง 230 kV เพื่อใช้ในพื้นที่จำกัด,2019,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
135,โครงการนำร่องขยายผลการติดตั้งระบบเฝ้าติดตามและการจัดการพลังงานของระบบไฟถนน ในพื้นที่การไฟฟ้านครหลวง เขตสามเสน,2019,การไฟฟ้านครหลวง(กฟน.),,,
134,โครงการจ้างออกแบบระบบวิเคราะห์การทำงานของ Micro-EMS ด้วยระบบทดสอบระยะไกล เพื่อขับเคลื่อนโครงการนำร่องการพัฒนาสมาร์ทกริดที่จังหวัดแม่ฮ่องสอน,2018,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
133,โครงการสนับสนุนการปรับปรุงประสิทธิภาพการจัดการพลังงานในระบบอากาศอัดทั้งระบบด้วยระบบควบคุมอัตโนมัติ ตามนโยบาย Thailand 4.0,2018,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน (พพ.),,,
132,ที่ปรึกษาเพื่อมาดำเนินการทบทวนมาตรฐานการก่อสร้างระบบไฟฟ้าเหนือดิน ให้มีความมั่นคงแข็งแรงและความปลอดภัยเทียบเท่าระดับสากล,2018,การไฟฟ้าส่วนภูมิภาค,,,
131,Automatic Fault Monitoring System,2018,PTTGC,,,
130,การศึกษาวิจัยการทำฐานข้อมูลคุณภาพไฟฟ้า,2018,การไฟฟ้าส่วนภูมิภาค,,,
129,งานวิจัยเพื่อจัดการฐานข้อมูลคุณภาพไฟฟ้า (PQDM) (R01/61) (งบปี 2561),2018,การไฟฟ้าส่วนภูมิภาค,,,
128,โครงการจัดทำแผนแม่บททางธุรกิจในประชาคมเศรษฐกิจอาเซียน (AEC) ของการไฟฟ้าส่วนภูมิภาค ระยะ 10 ปี พ.ศ. 2561-2570๗,2017,การไฟฟ้าส่วนภูมิภาค,,,
127,โครงการพัฒนาและติดตั้งระบบบริหารจัดการพลังงานสำหรับอาคารจามจุรี 9,2017,จุฬาลงกรณ์มหาวิทยาลัย,,,
126,โครงการที่ปรึกษาและการบริหารด้านวิศวกรรมไฟฟ้าและวิศวกรรมเครื่องกลให้แก่โครงการของบริษัท อีสวอเตอร์ จำกัด (มหาชน),2017,บ. อีสวอเตอร์ จำกัด (มหาชน),,,
125,"โครงการศึกษาเพื่อเสนอแนะการใช้คลื่นความถี่สำหรับการพัฒนาระบบไฟฟ้าให้มีความฉลาดหรือระบบโครงข่าย,สมาร์ดกริด (Smart Grid) ของประเทศไทย",2017,สำนักงานกองทุนวิจัยและพัฒนา กสทช.,,,
124,ศึกษาแนวทางการบูรณาการระบบสมาร์ทกริด ที่อำเภอเมืองแม่ฮ่องสอนของ กฟผ.,2017,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
123,โครงการศึกษาความเหมาะสมในการจัดหาระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์แบบติดตั้งบนหลังคา สำหรับหน่วยงานราชการโดยวิธีเช่า,2016,กรมบัญชีกลาง กระทรวงการคลัง,,,
122,โครงการศึกษาเพื่อการออกแบบและการดำเนินงานของการควบคุมกระบวนการขั้นสูงสำหรับหม้อน้ำอุตสาหกรรม,2016,บ. โยโกกาว่า (ประเทศไทย) จำกัด,,,
121,โครงการความร่วมมือทางวิชาการในการส่งบุคลากร PEA เข้าศึกษาต่อระดับปริญญาโท หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต ด้านสมาร์ทกริด รุ่นที่ 1,2016,การไฟฟ้าส่วนภูมิภาค,,,
120,โครงการนำร่องเพื่อศึกษาและพัฒนาระบบควบคุมไฟฟ้าสาธารณะ,2016,การไฟฟ้านครหลวง,,,
119,การศึกษาวิเคราะห์ผลกระทบจากระบบผลิตไฟฟ้าเซลล์แสงอาทิตย์ (Solar Photovoltaic) และการกำหนดมาตรการรองรับ,2016,การไฟฟ้านครหลวง,,,
118,A Study on Application of Super Conducting Fault Current Limiters (SFCLs) to Glow’s Power System,2015,"Glow Energy Public Co., Ltd. ",,,
117,ที่ปรึกษาเพื่อตรวจพิสูจน์หาสาเหตุการชำรุดของสายเคเบิลใต้น้ำระบบ 22 เควีช่วงอำเภอศรีราชา-เกาะสีชัง จ. ชลบุรี,2015,การไฟฟ้าส่วนภูมิภาค,,,
116,ที่ปรึกษาเพื่อตรวจพิสูจน์หาสาเหตุการชำรุดของสายเคเบิลใต้น้ำระบบ 33 เควีช่วงเกาะปูยู-เกาะยาว จ. สตูล,2015,การไฟฟ้าส่วนภูมิภาค,,,
115,โครงการระบบบริหารจัดการพลังงานในอาคาร,2015,ศูนย์เชี่ยวชาญพิเศษเฉพาะด้านเทคโนโลยีไฟฟ้ากำลัง,,,
114,โครงการวิจัยนำร่องการดำเนินงานด้านการจัดการกำลังไฟฟ้าสูงสุดในภาคประชาชน,2015,สำนักงานนโยบายและแผนพลังงาน (สนพ.),,,
113,งานตรวจสอบและทดสอบ FRTU เพื่อต่อเข้าระบบ DMS,2015,การไฟฟ้านครหลวง,,,
112,การศึกษาและจัดทำงานวิจัยและพัฒนาเครื่องวัดกระแสรั่วในกับดักฟ้าผ่า 22 kV และ 33 kV (ระยะที่ 2: การสร้างเครื่องต้นแบบและทดลองการใช้งาน),2015,การไฟฟ้าส่วนภูมิภาค,,,
111,โครงการที่ปรึกษาควบคุมงานไฟฟ้าและระบบ SCADA โครงการก่อสร้างท่อส่งน้ำดิบ อ่างฯ ประแสร์ อ่างฯ หนองปลาไหลฯ,2015,บริษัทจัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),,,
110,โครงการจ้างที่ปรึกษาปรับปรุงแผนที่นำทางการพัฒนาระบบโครงข่ายไฟฟ้าอัจฉริยะของ กฟภ. ให้สอดคล้องกับนโยบายภาครัฐ,2015,การไฟฟ้าส่วนภูมิภาค,,,
109,การเพิ่มสมรรถนะของระบบวิเคราะห์เหตุขัดข้องในระบบไฟฟ้าแบบอัตโนมัติของ กฟผ. ด้วยเทคนิคการรู้จำแบบและการคิดผลของความเหนี่ยวนำร่วมระหว่างเวลา,2015,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
108,โครงการจ้างที่ปรึกษาบริหารโครงการจัดหาและติดตั้งเพื่อทดแทนระบบ SCADA/EMS สำหรับการไฟฟ้านครหลวง,2015,การไฟฟ้านครหลวง,,,
107,โครงการจ้างที่ปรึกษาออกแบบแผนพัฒนาศูนย์บริการลูกค้าสำหรับ กฟภ. ระยะที่ 2,2014,การไฟฟ้าส่วนภูมิภาค,,,
106,โครงการออกแบบและพัฒนาโปรแกรมสำหรับการเลือกรูปแบบการจัดเรียงบัสของสถานีไฟฟ้าแรงสูงโดยคำนึงถึงความเชื่อถือได้และความคุ้มค่าทางการเงิน,2014,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
105,โครงการเพื่อศึกษาออกแบบระบบวิทยุสื่อสารดิจิตอล,2014,การทางพิเศษแห่งประเทศไทย (EXAT),,,
104,โครงการที่ปรึกษาสนับสนุนการดำเนินงานจ้างเหมา ออกแบบ จัดหาพร้อมติดตั้งระบบสื่อสาร DWDM และ IP Core Network และงานพัฒนาบุคลากรสื่อสารและโทรคมนาคม,2014,การไฟฟ้าส่วนภูมิภาค (PEA),,,
103,โครงการวิจัยการออกแบบและพัฒนาโปรแกรมสำหรับการเลือกรูปแบบการจัดเรียงบัสของสถานีไฟฟ้าแรงสูงโดยคำนึงถึงความเชื่อถือได้และความคุ้มค่าทางการเงิน,2014,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,,
102,A Market Survey of Video Surveillance Systems in Thailand,2014,"Mitsubishi Electric Corporation, Japan ",,,
101,โครงการที่ปรึกษาเพื่อปรับปรุงรายละเอียดสเปคประกอบงานจ้างเหมาก่อสร้างสถานีไฟฟ้าของการไฟฟ้าส่วนภูมิภาค,2014,การไฟฟ้าส่วนภูมิภาค (PEA),,,
100,โครงการออกแบบเชิงรายละเอียดและศึกษาความเป็นไปได้ของโครงการนำร่องระบบโครงข่ายไฟฟ้าอัจฉริยะ จ. แม่ฮ่องสอน,2014,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (EGAT),,,
99,โครงการประเมินความเหมาะสมในการจัดทำโครงการคอมพิวเตอร์ซอฟต์แวร์สำเร็จรูปสำหรับธุรกิจหลัก (รซธ.) ของการไฟฟ้าส่วนภูมิภาค ระยะที่ 2,2013,การไฟฟ้าส่วนภูมิภาค (PEA),,,
98,โครงการวิจัยนำร่องเพื่อเพิ่มสมรรถนะการส่องสว่างและการจัดการพลังงานของระบบไฟถนนในเขตจำหน่ายของการไฟฟ้านครหลวง,2013,การไฟฟ้านครหลวง(MEA),,,
97,งานที่ปรึกษาเพื่อดำเนินการจัดทำรายละเอียดทางเทคนิคงานติดตั้งระบบสื่อสาร DWDM และ IP Core Network พร้อมทั้งทบทวนแผนแม่บทเทคโนโลยีสารสนเทศและสื่อสารในส่วนงานด้านสื่อสารของการไฟฟ้าส่วนภูมิภาค,2013,การไฟฟ้าส่วนภูมิภาค (PEA),,,
